ID,ProfileID,ListID,EntryEventTypeID,LegalBasisID,Comment,Year,Month,Day,SanctionsMeasureID,SanctionsTypeID,SanctionsMeasureComment,YearFixed,MonthFixed,DayFixed
7150,7150,1550,1,1,,2002,1,9,5911,1705,,true,true,true
7150,7150,1550,1,1,,2002,1,9,127310,1,SDGT,true,true,true
7151,7151,1550,1,1,,2002,1,31,5574,1705,,true,true,true
7151,7151,1550,1,1,,2002,1,31,127311,1,SDNTK,true,true,true
7152,7152,1550,1,1,,2002,1,31,7356,1705,,true,true,true
7152,7152,1550,1,1,,2002,1,31,127312,1,SDNTK,true,true,true
7153,7153,1550,1,1,,2002,1,31,8109,1705,,true,true,true
7153,7153,1550,1,1,,2002,1,31,127313,1,SDNTK,true,true,true
7154,7154,1550,1,1,,2002,1,31,4623,1705,,true,true,true
7154,7154,1550,1,1,,2002,1,31,127314,1,SDNTK,true,true,true
7156,7156,1550,1,1,,2002,1,31,5804,1705,,true,true,true
7156,7156,1550,1,1,,2002,1,31,127315,1,SDNTK,true,true,true
7157,7157,1550,1,1,,2002,1,31,6990,1705,,true,true,true
7157,7157,1550,1,1,,2002,1,31,127316,1,SDNTK,true,true,true
7158,7158,1550,1,1,,2002,1,31,9182,1705,,true,true,true
7158,7158,1550,1,1,,2002,1,31,127317,1,SDNTK,true,true,true
7160,7160,1550,1,1,,2002,1,31,7002,1705,,true,true,true
7160,7160,1550,1,1,,2002,1,31,127319,1,SDNTK,true,true,true
7161,7161,1550,1,1,,2002,1,31,5632,1705,,true,true,true
7161,7161,1550,1,1,,2002,1,31,127320,1,SDNTK,true,true,true
7162,7162,1550,1,1,,2002,1,31,5780,1705,,true,true,true
7162,7162,1550,1,1,,2002,1,31,127321,1,SDNTK,true,true,true
7163,7163,1550,1,1849,,2002,1,31,634,1705,,true,true,true
7163,7163,1550,1,1849,,2002,1,31,127322,1,SDNTK,true,true,true
7164,7164,1550,1,1,,2002,1,31,9316,1705,,true,true,true
7164,7164,1550,1,1,,2002,1,31,127323,1,SDNTK,true,true,true
7166,7166,1550,1,1,,2002,1,31,5056,1705,,true,true,true
7166,7166,1550,1,1,,2002,1,31,127325,1,SDNTK,true,true,true
7167,7167,1550,1,1,,2002,1,31,4253,1705,,true,true,true
7167,7167,1550,1,1,,2002,1,31,127326,1,SDNTK,true,true,true
7169,7169,1550,1,1,,2002,1,31,4160,1705,,true,true,true
7169,7169,1550,1,1,,2002,1,31,127328,1,SDNTK,true,true,true
7170,7170,1550,1,1,,2002,1,31,6071,1705,,true,true,true
7170,7170,1550,1,1,,2002,1,31,127329,1,SDNTK,true,true,true
7172,7172,1550,1,1,,2002,1,31,5515,1705,,true,true,true
7172,7172,1550,1,1,,2002,1,31,127331,1,SDNTK,true,true,true
7173,7173,1550,1,1,,2002,1,31,5662,1705,,true,true,true
7173,7173,1550,1,1,,2002,1,31,127332,1,SDNTK,true,true,true
7174,7174,1550,1,1,,2002,1,31,8080,1705,,true,true,true
7174,7174,1550,1,1,,2002,1,31,127333,1,SDNTK,true,true,true
7176,7176,1550,1,1,,2002,1,31,4515,1705,,true,true,true
7176,7176,1550,1,1,,2002,1,31,127335,1,SDNTK,true,true,true
7177,7177,1550,1,1849,,2002,1,31,636,1705,,true,true,true
7177,7177,1550,1,1849,,2002,1,31,127336,1,SDNTK,true,true,true
7178,7178,1550,1,1,,2002,2,26,7114,1705,,true,true,true
7178,7178,1550,1,1,,2002,2,26,127337,1,SDGT,true,true,true
7179,7179,1550,1,1,,2002,2,26,9042,1705,,true,true,true
7179,7179,1550,1,1,,2002,2,26,127338,1,SDGT,true,true,true
7180,7180,1550,1,1,,2002,2,26,7671,1705,,true,true,true
7180,7180,1550,1,1,,2002,2,26,127339,1,SDGT,true,true,true
7181,7181,1550,1,1,,2002,2,26,4179,1705,,true,true,true
7181,7181,1550,1,1,,2002,2,26,127340,1,SDGT,true,true,true
7182,7182,1550,1,1,,2002,2,26,8666,1705,,true,true,true
7182,7182,1550,1,1,,2002,2,26,127341,1,SDGT,true,true,true
7183,7183,1550,1,1,,2002,2,26,7342,1705,,true,true,true
7183,7183,1550,1,1,,2002,2,26,127342,1,SDGT,true,true,true
7184,7184,1550,1,1,,2002,2,26,5762,1705,,true,true,true
7184,7184,1550,1,1,,2002,2,26,127343,1,SDGT,true,true,true
7185,7185,1550,1,1,,2002,2,26,4326,1705,,true,true,true
7185,7185,1550,1,1,,2002,2,26,127344,1,SDGT,true,true,true
7186,7186,1550,1,1,,2002,2,26,6527,1705,,true,true,true
7186,7186,1550,1,1,,2002,2,26,127345,1,SDGT,true,true,true
7187,7187,1550,1,1,,2002,2,26,7307,1705,,true,true,true
7187,7187,1550,1,1,,2002,2,26,127346,1,SDGT,true,true,true
7188,7188,1550,1,1,,2002,2,26,5776,1705,,true,true,true
7188,7188,1550,1,1,,2002,2,26,127347,1,SDGT,true,true,true
