FixedRef,ProfileID,PartySubTypeID,IdentityID,FixedRef,Primary,False,AliasFixedRef,AliasTypeID,Primary,LowQuality,DocumentedNameID,FixedRef,DocNameStatusID,NamePartValue,NamePartGroupID,ScriptID,ScriptStatusID,Acronym,FeatureID,FeatureTypeID,FeatureVersionID,ReliabilityID,Comment,VersionLocationID,NamePartTypeID
6861,6861,4,2993,6861,false,false,6861,1400,false,false,14214,6861,2,RAMOX PEREZ,20946,215,1,false,1197,8,2670,1,,,1521
6862,6862,4,2994,6862,false,false,6862,1400,false,false,14245,6862,2,NIZAM,21008,215,1,false,1199,8,2672,1,,,1521
6863,6863,4,2995,6863,true,false,6863,1403,true,false,2995,6863,1,HIGUERA GUERRERO,4711,215,1,false,1200,8,2673,1,,,1521
6864,6864,4,2996,6864,false,false,6864,1400,false,false,14252,6864,2,NASIR,21022,215,1,false,1202,8,2675,1,,,1521
6865,6865,4,2997,6865,false,false,6865,1400,false,false,14269,6865,2,VARGAS,21056,215,1,false,1204,8,2677,1,,,1521
6866,6866,4,2998,6866,false,false,6866,1400,false,false,14280,6866,2,RAMON MAGANA,21078,215,1,false,1206,8,2679,1,,,1521
6895,6895,3,2999,6895,false,false,6895,1400,false,false,14282,6895,2,AUC,21080,215,1,false,154922,25,204922,1,,4922,1525
6896,6896,3,3000,6896,true,false,6896,1403,true,false,3000,6896,1,ASBAT AL-ANSAR,4719,215,1,false,154923,25,204923,1,,4923,1525
6897,6897,3,3001,6897,false,false,6897,1400,false,false,14283,6897,2,TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA,21081,215,1,false,154924,25,204924,1,,4924,1525
6898,6898,3,3002,6898,true,false,6898,1403,true,false,3002,6898,1,LIBYAN ISLAMIC FIGHTING GROUP,44331,215,1,false,154925,25,204925,1,,4925,1525
6899,6899,3,2385,6899,false,false,6899,1400,false,false,10466,6899,2,AIAI,15566,215,1,false,154926,25,204926,1,,4926,1525
6900,6900,3,3520,6900,true,false,6900,1403,true,false,3520,6900,1,ISLAMIC ARMY OF ADEN,5451,215,1,false,154927,25,204927,1,,4927,1525
6901,6901,4,3521,6901,false,false,6901,1400,false,false,14880,6901,2,AL-'ADIL,21875,215,1,false,1207,8,3102,1,,,1521
6903,6903,4,2325,6903,false,false,6903,1400,false,true,43568,6903,2,ABU HAFS THE MAURITANIAN,83210,215,1,false,1210,8,6342,1,,,1520
6905,6905,4,2327,6905,false,false,6905,1400,false,true,47258,6905,2,ABU ZUBAYDAH,88481,215,1,false,1211,8,6343,1,,,1520
6906,6906,4,2328,6906,false,false,6906,1400,false,false,10304,6906,2,AL-IRAQI,15297,215,1,false,43320,224,41039,1,,,1521
6907,6907,4,2329,6907,false,false,6907,1400,false,false,10307,6907,2,THIRWAT,15303,215,1,false,1213,8,6346,1,,,1521
6908,6908,4,2330,6908,false,false,6908,1400,false,false,10309,6908,2,FARAG,15307,215,1,false,1215,8,6348,1,,,1521
6910,6910,3,2332,6910,true,false,6910,1403,true,false,2332,6910,1,MAKHTAB AL-KHIDAMAT/AL KIFAH,3617,215,1,false,154937,25,204937,1,,4937,1525
6911,6911,3,2333,6911,false,false,6911,1400,false,false,10313,6911,2,WAFA AL-IGATHA AL-ISLAMIA,15312,215,1,false,154947,25,204947,1,,4947,1525
6912,6912,3,2334,6912,false,false,6912,1400,false,false,10326,6912,2,MEYMAR TRUST,15325,215,1,false,154939,25,204939,1,,4939,1525
6913,6913,3,2335,6913,false,false,6913,1400,false,false,10328,6913,2,DARKAZANLI EXPORT-IMPORT SONDERPOSTEN,15327,215,1,false,154940,25,204940,1,,4940,1525
6915,6915,4,2336,6915,false,false,6915,1400,false,true,10331,6915,2,SALEH,15331,215,1,false,1217,8,6350,1,,,1520
6916,6916,4,2337,6916,false,false,6916,1400,false,true,10345,6916,2,SHUAIB,15353,215,1,false,1220,8,6353,1,,,1520
6918,6918,4,2339,6918,false,false,6918,1400,false,true,10351,6918,2,ABU OMRAN,15364,215,1,false,1227,8,6360,1,,,1520
6919,6919,4,2340,6919,true,false,6919,1403,true,false,2340,6919,1,AL-NASSER,3630,215,1,false,1230,9,6363,1,,,1521
6920,6920,4,2341,6920,true,false,6920,1403,true,false,2341,6920,1,AL-YACOUB,3632,215,1,false,1232,8,6365,1,,,1521
6921,6921,4,2342,6921,false,false,6921,1400,false,false,10353,6921,2,SALIM,15368,215,1,false,1235,8,6368,1,,,1521
6923,6923,4,2344,6923,false,false,6923,1400,false,false,10359,6923,2,EL-HOURI,15378,215,1,false,1241,8,6374,1,,,1521
6924,6924,4,2345,6924,false,false,6924,1400,false,false,10372,6924,2,AL-NUBI,15402,215,1,false,1245,8,6378,1,,,1521
6925,6925,4,2346,6925,false,false,6925,1400,false,true,10392,6925,2,"""AHMED THE TANZANIAN""",15439,215,1,false,1249,8,6382,1,,,1520
6926,6926,4,2347,6926,false,false,6926,1400,false,false,10395,6926,2,SALWWAN,15443,215,1,false,1255,8,6388,1,,,1521
6927,6927,4,1786,6927,false,false,6927,1400,false,false,9828,6927,2,MOHAMMED,14624,215,1,false,1258,8,1441,1,,,1521
6928,6928,4,2348,6928,true,false,6928,1403,true,false,2348,6928,1,MOHAMMED,3646,215,1,false,1264,8,6391,1,,,1521
